date,avg_block_size,avg_block_gas_limit,avg_block_gas_used,target_blob_gas_per_block,max_blob_gas_per_block,target_blobs_per_block,max_blobs_per_block,gas_per_blob,blocks_count,total_blob_gas_used,total_blobs,avg_blobs_per_block,avg_blob_gas_used,avg_max_gas_utilization,avg_target_gas_utilization,avg_blob_gas_price,avg_blob_base_fee
2025-12-12 00:00:00.000 UTC,94069.54146778044,59988836,30722213,1310720,1966080,10,15,131072,3352,2218262528,16924,5.048926014319809,661772.830548926,0.33659506762132463,0.5048926014319751,5806863.718973747,3834544242570.692
2025-12-11 00:00:00.000 UTC,118386.23086627419,59988655,30546139,1310720,1966080,10,15,131072,7134,4785045504,36507,5.1173254835996635,670738.0857863751,0.34115503223998533,0.5117325483599774,7904454.967900196,5299574816827.712
2025-12-10 00:00:00.000 UTC,112867.83431952662,59987871,30601220,1310720,1966080,10,15,131072,7098,4842979328,36949,5.205550859397014,682301.9622428854,0.3470367239598065,0.5205550859397107,11587420.123274162,8632854342263.885
2025-12-09 00:00:00.000 UTC,105672.39090143218,59988059,30656666,1310720,1966080,10,15,131072,7122,4723834880,36040,5.060376298792474,663273.6422353272,0.46894442884333254,0.7034166432649991,16921421.697978094,11346027538392.316
2025-12-08 00:00:00.000 UTC,93416.2689122807,59983085,30682491,786432,1179648,6,9,131072,7125,4622123008,35264,4.949333333333334,648719.0186666667,0.5499259259259272,0.824888888888896,22849101.735298246,15011001926588.596
2025-12-07 00:00:00.000 UTC,83701.02480728802,59983435,30663202,786432,1179648,6,9,131072,7135,4592500736,35038,4.91072179397337,643658.1269796776,0.5456357548859326,0.8184536323289022,32525312.678065874,22516195542776.215
2025-12-06 00:00:00.000 UTC,114350.17775277738,59981988,30565830,786432,1179648,6,9,131072,7111,4542955520,34660,4.874138658416538,638863.1022359724,0.5415709620462839,0.8123564430694291,1743145.6076501196,1108857423164.949
2025-12-05 00:00:00.000 UTC,141922.13421015415,59974355,30484334,786432,1179648,6,9,131072,7071,4785963008,36514,5.163908923773158,676843.8704567953,0.5737676581970158,0.8606514872955366,2999291.0386084006,2076006633002.214
2025-12-04 00:00:00.000 UTC,148574.66784922394,59968756,30468850,786432,1179648,6,9,131072,6765,5009178624,38217,5.649223946784923,740455.0811529934,0.62769154964277,0.9415373244641558,2220713192.2881007,1706018577745649.8
2025-12-03 00:00:00.000 UTC,145381.80685182574,59951999,30417884,786432,1179648,6,9,131072,7093,5460721664,41662,5.873678274354998,769874.7587762583,0.6526309193727525,0.9789463790591749,14201372.256731989,11009860882144.996
