datetime,blockchain,native,canonical,external,tvs,eth_price
2026-02-21,arbitrum,5579863986.173828,3519660317.7203703,7553231415.764286,16652755719.658484,1973.2623
2026-02-21,base,3563911481.546875,2622234783.1712165,4632321809.515625,10818468074.233715,1968.1763
2026-02-21,optimism,302445099.9375,1246875678.4885173,285326778.2614136,1834647556.6874309,1973.2623
2026-02-21,lighter,0.0,1213373335.8007812,0.0,1213373335.8007812,1968.1763
2026-02-21,starknet,49696426.9375,446281429.3999605,72113013.95999146,568090870.297452,1973.2623
2026-02-21,ink,0.0,36096892.04999924,459047376.0,495144268.0499992,1968.1763
2026-02-21,linea,4120509.375,212148075.6028405,203703109.8482666,419971694.8261072,1973.2623
2026-02-21,zksync,249593663.73828125,124553605.85258204,30885525.889404297,405032795.4802676,1968.1763
2026-02-21,unichain,0.0,271913045.1469426,93651610.30875015,365564655.4556928,1973.2623
2026-02-21,katana,12268537.61250019,70152726.44046661,113215497.84000015,195636761.89296696,1973.2623
2026-02-21,bob,11904276.0,5457952.391816482,107399785.77734376,124762014.16916025,1968.1763
2026-02-21,scroll,8646408.0,74962115.49370718,19294722.10437012,102903245.5980773,1968.1763
2026-02-21,abstract,3504549.1015625,32950416.25,37332919.875,73787885.2265625,1968.1763
2026-02-20,arbitrum,5776989732.794922,3504156013.454929,7646665836.92457,16927811583.17442,1948.0658
2026-02-20,base,3487310104.0703125,2586229563.845684,4605272133.984375,10678811801.900372,1948.0658
2026-02-20,optimism,324439266.625,1250305981.9925485,284105225.4455872,1858850474.063136,1948.0658
2026-02-20,lighter,0.0,1202567665.5996094,0.0,1202567665.5996094,1948.0658
2026-02-20,starknet,49518171.125,443148786.2402339,84311901.95999146,576978859.3252254,1948.0658
2026-02-20,ink,0.0,35597519.80999969,455353440.0,490950959.8099997,1948.0658
2026-02-20,linea,4132253.1171875,207974004.6330787,201562644.75628665,413668902.5065528,1948.0658
2026-02-20,zksync,249598305.78515625,123562757.83557343,30879466.580078125,404040530.2008078,1948.0658
2026-02-20,unichain,0.0,271038420.6038828,93996015.69828127,365034436.3021641,1948.0658
2026-02-20,katana,12212194.0,75556657.9582034,114441207.52750015,202210059.4857036,1948.0658
2026-02-20,bob,12117754.0,5391199.12504898,105928862.94921876,123437816.07426772,1948.0658
2026-02-20,scroll,8733860.0,73767183.01652956,19513365.70062256,102014408.71715212,1948.0658
2026-02-20,abstract,3342144.28125,32571195.5,36446687.0,72360026.78125,1948.0658
2026-02-19,arbitrum,5841273470.96875,3473420122.805152,7652394787.227583,16967088381.001486,1954.4481
2026-02-19,base,3532529584.421875,2582192457.048121,4578461668.984375,10693183710.45437,1954.4481
2026-02-19,optimism,379491507.125,1264030251.2589388,285102945.58651733,1928624703.970456,1954.4481
